Real Eigenvalue,Numerical Eigenvalues
0,-0.000000000002930 
2,2.000487179147752 2.000710995735828 2.000710995739588 
6,6.004728089912019 6.004728089912565 6.008419795198291 6.009357522064001 6.009357522065359 
12,12.017415931274710 12.017635656979365 12.032007674062072 12.032007674064301 12.035817683039426 12.035817683040952 12.039785797143463 
20,20.047748859871849 20.047748859874584 20.075204271697825 20.083426913160984 20.093004939619657 20.093004939620030 20.113966295238615 20.113966295240388 20.114869315107853 
30,30.105843407199750 30.105843407202585 30.164488921309999 30.164488921312419 30.192114757180537 30.195161633652134 30.243213833537382 30.243213833542995 30.260002097858294 30.260002097858479 30.275563329370925 
42,42.199538326942800 42.210904909254126 42.304283277106748 42.304283277111871 42.351229159139706 42.351229159146136 42.435189473508714 42.454845177728352 42.492124066866303 42.492124066868357 42.536574198443908 42.538157942249875 42.538157942251736 
56,56.361199573200103 56.361199573202072 56.514193362599705 56.520476400543316 56.587175556310640 56.587175556314072 56.738538078267652 56.738538078277784 56.817369663632547 56.841646718614953 56.924634263935395 56.924634263936454 56.957583497014191 56.957583497015385 56.983731831198831 
72,72.590826978957878 72.590826978960479 72.826382899787134 72.826382899787987 72.909585874220951 72.943501993089086 73.142567491094923 73.142567491098205 73.300723222555945 73.300723222561317 73.456624794548986 73.468848201896392 73.545212924639983 73.545212924641120 73.621865087485205 73.621865087486896 73.624299362541606 
90,90.876475588959622 90.950842677185165 91.251578636766411 91.251578636766979 91.393713219299670 91.393713219302327 91.668643871965273 91.701097473082640 91.930016092441733 91.930016092445243 92.179297760892197 92.179297760897995 92.314029152188127 92.355506076736901 92.476314468563686 92.476314468563743 92.541486104231581 92.541486104232504 92.572853722849004 
